"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
NVDA,566.40,2.65,7975700,536.33,534.15,533.73,510.22,460.03,442.07,425.16,540.02,521.37,455.76,13,13,-1.14,-0.28,-3.74,
AMZN,3322.00,2.49,5789300,3187.11,3186.33,3192.33,3156.45,2980.93,2907.47,2836.04,3232.88,3217.67,3020.74,15,13,-4.00,-1.28,-5.37,
FDX,279.07,3.70,2234600,272.07,271.92,270.03,245.38,214.70,206.77,200.41,274.97,246.99,198.84,15,16,0.53,0.92,-5.44,
TMO,514.76,0.74,1526100,494.75,486.92,477.77,447.70,416.63,406.94,398.06,477.39,444.44,408.94,16,14,1.93,1.87,-5.78,
TTD,647.30,2.35,1404100,611.69,606.92,597.26,538.37,473.46,453.40,435.14,612.95,524.71,463.18,20,20,1.69,3.06,17.62,
SOXL,335.15,13.19,1371000,287.75,283.25,280.42,261.46,238.45,232.35,227.16,289.90,262.66,228.23,15,14,-0.44,0.42,1.13,
NOW,531.08,3.41,1186500,505.73,504.11,502.05,480.49,445.87,433.72,422.16,508.16,481.30,445.33,15,15,0.20,0.72,-5.48,
QDEL,281.80,5.77,1099700,266.28,263.11,257.47,236.17,213.08,204.15,195.43,262.52,223.45,221.47,16,18,0.69,1.31,-27.73,
MELI,1437.80,9.28,902200,1309.28,1288.67,1261.37,1169.92,1062.45,1025.45,990.81,1276.60,1166.45,1070.20,20,18,7.93,7.97,-7.45,
PAYC,373.26,-6.08,850500,375.95,374.04,367.29,335.72,313.32,307.13,301.40,375.87,322.21,311.74,20,20,2.08,2.56,8.52,
MPWR,356.60,6.18,729100,329.55,323.33,315.73,289.74,264.24,256.08,248.55,318.72,284.45,261.17,19,17,1.48,1.69,-11.15,
BLK,668.19,2.55,714400,636.24,629.73,622.12,596.64,572.18,564.26,556.92,629.96,591.43,573.24,17,15,1.71,2.08,-0.32,
MYOK,224.40,-0.07,648000,223.65,221.73,214.44,173.48,140.99,132.74,125.72,222.68,159.38,128.81,20,20,1.83,2.50,0.00,
DECK,278.57,6.71,624400,261.52,258.18,253.38,233.67,215.28,209.96,205.23,256.15,228.32,213.30,15,13,1.01,1.22,-8.55,
TYL,409.90,0.97,591900,398.75,395.71,390.26,369.93,355.18,350.21,345.20,395.52,359.77,356.95,18,16,1.45,1.71,2.57,
DQ,221.42,18.59,577900,198.65,195.63,189.94,157.98,128.51,120.50,113.59,199.17,149.79,115.81,18,20,1.14,1.84,-5.39,
BGNE,300.00,-1.41,457400,300.62,300.47,298.34,274.50,244.65,235.94,228.27,302.81,271.89,233.97,13,15,0.32,0.78,-6.67,
IDXX,467.97,-0.30,440500,448.73,440.09,429.82,399.83,370.12,360.87,352.49,429.74,396.07,366.08,17,14,2.36,2.21,-6.74,
MRTX,236.60,0.82,387000,222.07,213.61,203.81,174.56,151.03,144.78,139.39,201.45,169.47,141.66,16,13,1.87,1.75,-3.96,
POOL,383.92,1.79,326600,368.80,364.02,357.60,334.47,308.07,299.46,291.48,359.70,332.75,305.94,18,14,1.54,1.59,-16.05,
MKTX,581.17,0.22,276600,561.32,555.20,545.07,516.09,493.51,484.83,475.97,549.68,501.77,504.65,19,17,3.02,3.06,-7.97,
MTD,1103.74,2.18,169200,1061.04,1049.04,1036.68,989.25,929.11,910.63,894.08,1037.49,994.25,914.53,16,15,2.31,2.37,6.87,
BIO,630.57,0.93,128600,603.59,591.75,578.39,542.32,508.93,497.61,486.82,576.96,533.74,507.95,18,16,2.63,2.51,-8.03,
SAM,1025.24,0.05,115900,1025.97,1015.76,994.31,903.78,791.32,755.66,723.40,991.82,908.44,765.21,20,20,6.97,6.11,-7.38,
